Specimen properties : Specimen label,"sample1"
Specimen properties : Diameter,"0.39900",mm
Specimen properties : Length,"14.33000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Delta,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.59187","2.26246","18.09442","7.10000","0.00000","2.26246","0.59187","0.04130"
"0.60021","2.28912","18.30767","7.20000","0.00000","2.28912","0.60021","0.04188"
"0.60854","2.32370","18.58423","7.30000","0.00000","2.32370","0.60854","0.04247"
"0.61687","2.36355","18.90290","7.40000","0.00000","2.36355","0.61687","0.04305"
"0.62521","2.37855","19.02291","7.50000","0.00000","2.37855","0.62521","0.04363"
"0.63354","2.40683","19.24905","7.60000","0.00000","2.40683","0.63354","0.04421"
"0.64187","2.43742","19.49375","7.70000","0.00000","2.43742","0.64187","0.04479"
"0.65021","2.46942","19.74965","7.80000","0.00000","2.46942","0.65021","0.04537"
"0.65875","2.49560","19.95904","7.90000","0.00000","2.49560","0.65875","0.04597"
"0.66708","2.51076","20.08024","8.00000","0.00000","2.51076","0.66708","0.04655"
"0.67542","2.54943","20.38952","8.10000","0.00000","2.54943","0.67542","0.04713"
"0.68375","2.56736","20.53293","8.20000","0.00000","2.56736","0.68375","0.04771"
"0.69208","2.59798","20.77782","8.30000","0.00000","2.59798","0.69208","0.04830"
"0.70062","2.62190","20.96916","8.40000","0.00000","2.62190","0.70062","0.04889"
"0.70896","2.65064","21.19900","8.50000","0.00000","2.65064","0.70896","0.04947"
"0.71667","2.66469","21.31138","8.59400","0.00000","2.66469","0.71667","0.05001"
"0.71687","2.66454","21.31016","8.59600","0.00000","2.66454","0.71687","0.05003"
"0.71896","2.65150","21.20589","8.69600","0.00000","2.65150","0.71896","0.05017"
"0.71896","2.61570","20.91951","8.79600","0.00000","2.61570","0.71896","0.05017"
"0.71896","2.57068","20.55947","8.89600","0.00000","2.57068","0.71896","0.05017"
"0.71896","2.53771","20.29582","8.99600","0.00000","2.53771","0.71896","0.05017"
"0.71896","2.51141","20.08545","9.09600","0.00000","2.51141","0.71896","0.05017"
"0.71896","2.49279","19.93656","9.19600","0.00000","2.49279","0.71896","0.05017"
"0.71896","2.47496","19.79398","9.29600","0.00000","2.47496","0.71896","0.05017"
"0.71812","2.45349","19.62221","9.39600","0.00000","2.45349","0.71812","0.05011"
"0.71812","2.44068","19.51976","9.49600","0.00000","2.44068","0.71812","0.05011"
"0.71812","2.42429","19.38869","9.59600","0.00000","2.42429","0.71812","0.05011"
"0.71812","2.40312","19.21943","9.69600","0.00000","2.40312","0.71812","0.05011"
"0.71812","2.39650","19.16647","9.79600","0.00000","2.39650","0.71812","0.05011"
