Specimen properties : Specimen label,"sample2"
Specimen properties : Diameter,"0.34300",mm
Specimen properties : Length,"13.08000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Delta,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.00000","-0.00244","-0.02636","0.00000","0.00000","-0.00244","0.00000","0.00000"
"0.00104","0.00558","0.06036","0.10000","0.00000","0.00558","0.00104","0.00008"
"0.01062","-0.00469","-0.05075","0.20000","0.00000","-0.00469","0.01062","0.00081"
"0.02208","0.00151","0.01634","0.30000","0.00000","0.00151","0.02208","0.00169"
"0.03187","0.01202","0.13006","0.40000","0.00000","0.01202","0.03187","0.00244"
"0.04083","0.00882","0.09549","0.50000","0.00000","0.00882","0.04083","0.00312"
"0.04937","0.01095","0.11852","0.60000","0.00000","0.01095","0.04937","0.00377"
"0.05771","0.01525","0.16500","0.70000","0.00000","0.01525","0.05771","0.00441"
"0.06667","0.01233","0.13341","0.80000","0.00000","0.01233","0.06667","0.00510"
"0.07521","0.02076","0.22472","0.90000","0.00000","0.02076","0.07521","0.00575"
"0.08333","0.02409","0.26073","1.00000","0.00000","0.02409","0.08333","0.00637"
"0.09146","0.02858","0.30929","1.10000","0.00000","0.02858","0.09146","0.00699"
"0.10000","0.04038","0.43696","1.20000","0.00000","0.04038","0.10000","0.00765"
"0.10875","0.04254","0.46039","1.30000","0.00000","0.04254","0.10875","0.00831"
"0.11708","0.05495","0.59465","1.40000","0.00000","0.05495","0.11708","0.00895"
"0.12521","0.05793","0.62698","1.50000","0.00000","0.05793","0.12521","0.00957"
"0.13333","0.06719","0.72712","1.60000","0.00000","0.06719","0.13333","0.01019"
"0.14187","0.07151","0.77390","1.70000","0.00000","0.07151","0.14187","0.01085"
"0.15042","0.08680","0.93935","1.80000","0.00000","0.08680","0.15042","0.01150"
"0.15833","0.09708","1.05065","1.90000","0.00000","0.09708","0.15833","0.01210"
"0.16646","0.10674","1.15513","2.00000","0.00000","0.10674","0.16646","0.01273"
"0.17479","0.11932","1.29130","2.10000","0.00000","0.11932","0.17479","0.01336"
"0.18354","0.12980","1.40474","2.20000","0.00000","0.12980","0.18354","0.01403"
"0.19208","0.14332","1.55103","2.30000","0.00000","0.14332","0.19208","0.01469"
"0.20021","0.15075","1.63151","2.40000","0.00000","0.15075","0.20021","0.01531"
"0.20833","0.17380","1.88087","2.50000","0.00000","0.17380","0.20833","0.01593"
"0.21646","0.18597","2.01264","2.60000","0.00000","0.18597","0.21646","0.01655"
"0.22521","0.19773","2.13995","2.70000","0.00000","0.19773","0.22521","0.01722"
"0.23375","0.21103","2.28388","2.80000","0.00000","0.21103","0.23375","0.01787"
"0.24187","0.21896","2.36962","2.90000","0.00000","0.21896","0.24187","0.01849"
"0.25021","0.23543","2.54795","3.00000","0.00000","0.23543","0.25021","0.01913"
