Specimen properties : Specimen label,""
Specimen properties : Diameter,"0.37600",mm
Specimen properties : Length,"12.02000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Duration,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.59229","1.33465","12.01996","7.10000","0.00000","1.33465","0.59229","0.04928"
"0.60042","1.36065","12.25409","7.20000","0.00000","1.36065","0.60042","0.04995"
"0.60104","1.35947","12.24343","7.20600","0.00000","1.35947","0.60104","0.05000"
"0.60104","1.35942","12.24304","7.20800","0.00000","1.35942","0.60104","0.05000"
"0.60333","1.34729","12.13378","7.30800","0.00000","1.34729","0.60333","0.05019"
"0.60333","1.32479","11.93111","7.40800","0.00000","1.32479","0.60333","0.05019"
"0.60333","1.30014","11.70914","7.50800","0.00000","1.30014","0.60333","0.05019"
"0.60333","1.27867","11.51573","7.60800","0.00000","1.27867","0.60333","0.05019"
"0.60333","1.27455","11.47867","7.70800","0.00000","1.27455","0.60333","0.05019"
"0.60333","1.25292","11.28383","7.80800","0.00000","1.25292","0.60333","0.05019"
"0.60271","1.24532","11.21543","7.90800","0.00000","1.24532","0.60271","0.05014"
"0.60271","1.23918","11.16008","8.00800","0.00000","1.23918","0.60271","0.05014"
"0.60271","1.22581","11.03974","8.10800","0.00000","1.22581","0.60271","0.05014"
"0.60271","1.21500","10.94240","8.20800","0.00000","1.21500","0.60271","0.05014"
"0.60250","1.21515","10.94373","8.30800","0.00000","1.21515","0.60250","0.05012"
"0.60229","1.19650","10.77574","8.40800","0.00000","1.19650","0.60229","0.05011"
"0.60229","1.18767","10.69621","8.50800","0.00000","1.18767","0.60229","0.05011"
"0.60208","1.18311","10.65515","8.60800","0.00000","1.18311","0.60208","0.05009"
"0.60187","1.17699","10.60004","8.70800","0.00000","1.17699","0.60187","0.05007"
"0.60167","1.16980","10.53526","8.80800","0.00000","1.16980","0.60167","0.05006"
"0.60146","1.16544","10.49605","8.90800","0.00000","1.16544","0.60146","0.05004"
"0.60125","1.15884","10.43655","9.00800","0.00000","1.15884","0.60125","0.05002"
"0.60125","1.15212","10.37606","9.10800","0.00000","1.15212","0.60125","0.05002"
"0.60104","1.14641","10.32460","9.20800","0.00000","1.14641","0.60104","0.05000"
"0.60104","1.14042","10.27064","9.30800","0.00000","1.14042","0.60104","0.05000"
"0.60083","1.13919","10.25960","9.40800","0.00000","1.13919","0.60083","0.04999"
"0.60083","1.14273","10.29150","9.50800","0.00000","1.14273","0.60083","0.04999"
"0.60083","1.12989","10.17588","9.60800","0.00000","1.12989","0.60083","0.04999"
"0.60083","1.13014","10.17811","9.70800","0.00000","1.13014","0.60083","0.04999"
"0.60083","1.13087","10.18469","9.80800","0.00000","1.13087","0.60083","0.04999"
"0.60083","1.12081","10.09404","9.90800","0.00000","1.12081","0.60083","0.04999"
"0.60083","1.11881","10.07602","10.00800","0.00000","1.11881","0.60083","0.04999"
"0.60083","1.11208","10.01547","10.10800","0.00000","1.11208","0.60083","0.04999"
"0.60083","1.11476","10.03955","10.20800","0.00000","1.11476","0.60083","0.04999"
"0.60083","1.10663","9.96641","10.30800","0.00000","1.10663","0.60083","0.04999"
"0.60083","1.10606","9.96121","10.40800","0.00000","1.10606","0.60083","0.04999"
"0.60083","1.10397","9.94239","10.50800","0.00000","1.10397","0.60083","0.04999"
"0.60083","1.10366","9.93961","10.60800","0.00000","1.10366","0.60083","0.04999"
"0.60083","1.10059","9.91195","10.70800","0.00000","1.10059","0.60083","0.04999"
"0.60083","1.09404","9.85301","10.80800","0.00000","1.09404","0.60083","0.04999"
"0.60083","1.09446","9.85678","10.90800","0.00000","1.09446","0.60083","0.04999"
"0.60083","1.09063","9.82230","11.00800","0.00000","1.09063","0.60083","0.04999"
"0.60083","1.08625","9.78280","11.10800","0.00000","1.08625","0.60083","0.04999"
"0.60083","1.09046","9.82073","11.20800","0.00000","1.09046","0.60083","0.04999"
"0.60083","1.08534","9.77467","11.30800","0.00000","1.08534","0.60083","0.04999"
"0.60083","1.08141","9.73926","11.40800","0.00000","1.08141","0.60083","0.04999"
"0.60083","1.07927","9.71999","11.50800","0.00000","1.07927","0.60083","0.04999"
"0.60083","1.07938","9.72095","11.60800","0.00000","1.07938","0.60083","0.04999"
"0.60083","1.07322","9.66544","11.70800","0.00000","1.07322","0.60083","0.04999"
"0.60083","1.08193","9.74396","11.80800","0.00000","1.08193","0.60083","0.04999"
"0.60083","1.07498","9.68131","11.90800","0.00000","1.07498","0.60083","0.04999"
"0.60083","1.07271","9.66086","12.00800","0.00000","1.07271","0.60083","0.04999"
"0.60083","1.06946","9.63160","12.10800","0.00000","1.06946","0.60083","0.04999"
"0.60083","1.07020","9.63827","12.20800","0.00000","1.07020","0.60083","0.04999"
"0.60083","1.07116","9.64693","12.30800","0.00000","1.07116","0.60083","0.04999"
"0.60083","1.05954","9.54231","12.40800","0.00000","1.05954","0.60083","0.04999"
"0.60083","1.06300","9.57347","12.50800","0.00000","1.06300","0.60083","0.04999"
"0.60083","1.05873","9.53493","12.60800","0.00000","1.05873","0.60083","0.04999"
"0.60083","1.05919","9.53912","12.70800","0.00000","1.05919","0.60083","0.04999"
