Specimen properties : Specimen label,""
Specimen properties : Diameter,"0.33600",mm
Specimen properties : Length,"16.10000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Duration,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.00000","0.00484","0.05462","0.00000","0.00000","0.00484","0.00000","0.00000"
"0.00104","0.00731","0.08241","0.10000","0.00000","0.00731","0.00104","0.00006"
"0.01083","0.01328","0.14977","0.20000","0.00000","0.01328","0.01083","0.00067"
"0.02208","0.02894","0.32638","0.30000","0.00000","0.02894","0.02208","0.00137"
"0.03208","0.03057","0.34481","0.40000","0.00000","0.03057","0.03208","0.00199"
"0.04083","0.04812","0.54271","0.50000","0.00000","0.04812","0.04083","0.00254"
"0.04958","0.04024","0.45387","0.60000","0.00000","0.04024","0.04958","0.00308"
"0.05812","0.05427","0.61205","0.70000","0.00000","0.05427","0.05812","0.00361"
"0.06687","0.06634","0.74819","0.80000","0.00000","0.06634","0.06687","0.00415"
"0.07521","0.06409","0.72281","0.90000","0.00000","0.06409","0.07521","0.00467"
"0.08333","0.07159","0.80736","1.00000","0.00000","0.07159","0.08333","0.00518"
"0.09146","0.07685","0.86670","1.10000","0.00000","0.07685","0.09146","0.00568"
"0.10000","0.08198","0.92455","1.20000","0.00000","0.08198","0.10000","0.00621"
"0.10875","0.10076","1.13639","1.30000","0.00000","0.10076","0.10875","0.00675"
"0.11729","0.10639","1.19987","1.40000","0.00000","0.10639","0.11729","0.00729"
"0.12500","0.10632","1.19904","1.50000","0.00000","0.10632","0.12500","0.00776"
"0.13333","0.11449","1.29124","1.60000","0.00000","0.11449","0.13333","0.00828"
"0.14187","0.12904","1.45529","1.70000","0.00000","0.12904","0.14187","0.00881"
"0.15062","0.13644","1.53873","1.80000","0.00000","0.13644","0.15062","0.00936"
"0.15896","0.14463","1.63113","1.90000","0.00000","0.14463","0.15896","0.00987"
"0.16708","0.15202","1.71449","2.00000","0.00000","0.15202","0.16708","0.01038"
"0.17521","0.16287","1.83687","2.10000","0.00000","0.16287","0.17521","0.01088"
"0.18354","0.17110","1.92971","2.20000","0.00000","0.17110","0.18354","0.01140"
"0.19229","0.17979","2.02768","2.30000","0.00000","0.17979","0.19229","0.01194"
"0.20021","0.18596","2.09722","2.40000","0.00000","0.18596","0.20021","0.01244"
"0.20833","0.21104","2.38010","2.50000","0.00000","0.21104","0.20833","0.01294"
"0.21667","0.21366","2.40963","2.60000","0.00000","0.21366","0.21667","0.01346"
"0.22521","0.23073","2.60216","2.70000","0.00000","0.23073","0.22521","0.01399"
"0.23396","0.24927","2.81125","2.80000","0.00000","0.24927","0.23396","0.01453"
"0.24208","0.26173","2.95180","2.90000","0.00000","0.26173","0.24208","0.01504"
"0.25000","0.27742","3.12877","3.00000","0.00000","0.27742","0.25000","0.01553"
"0.25833","0.28320","3.19395","3.10000","0.00000","0.28320","0.25833","0.01605"
"0.26667","0.29430","3.31906","3.20000","0.00000","0.29430","0.26667","0.01656"
"0.27542","0.31796","3.58595","3.30000","0.00000","0.31796","0.27542","0.01711"
"0.28354","0.32866","3.70667","3.40000","0.00000","0.32866","0.28354","0.01761"
