Specimen properties : Specimen label,""
Specimen properties : Diameter,"0.30700",mm
Specimen properties : Length,"16.08000",mm
Test : Rate 1,"5.00000",mm/min
Test : Start of hold value,"0.05000",mm/mm
Test : Duration,"180.00000",s

Extension,Load,Tensile stress,Time,PIP count,Tenacity,Tensile extension,Tensile strain (Extension)
(mm),(N),(MPa),(s),,(N/tex),(mm),(mm/mm)
"0.51687","2.24904","30.38297","6.20000","0.00000","2.24904","0.51687","0.03214"
"0.52500","2.28115","30.81678","6.30000","0.00000","2.28115","0.52500","0.03265"
"0.53333","2.29687","31.02908","6.40000","0.00000","2.29687","0.53333","0.03317"
"0.54167","2.33733","31.57577","6.50000","0.00000","2.33733","0.54167","0.03369"
"0.55021","2.36910","32.00496","6.60000","0.00000","2.36910","0.55021","0.03422"
"0.55875","2.40186","32.44753","6.70000","0.00000","2.40186","0.55875","0.03475"
"0.56687","2.43389","32.88016","6.80000","0.00000","2.43389","0.56687","0.03525"
"0.57521","2.46306","33.27425","6.90000","0.00000","2.46306","0.57521","0.03577"
"0.58354","2.48697","33.59733","7.00000","0.00000","2.48697","0.58354","0.03629"
"0.59187","2.52962","34.17348","7.10000","0.00000","2.52962","0.59187","0.03681"
"0.60042","2.55467","34.51181","7.20000","0.00000","2.55467","0.60042","0.03734"
"0.60854","2.58233","34.88551","7.30000","0.00000","2.58233","0.60854","0.03784"
"0.61687","2.61091","35.27162","7.40000","0.00000","2.61091","0.61687","0.03836"
"0.62521","2.63661","35.61879","7.50000","0.00000","2.63661","0.62521","0.03888"
"0.63333","2.67330","36.11448","7.60000","0.00000","2.67330","0.63333","0.03939"
"0.64187","2.70630","36.56030","7.70000","0.00000","2.70630","0.64187","0.03992"
"0.65042","2.73057","36.88815","7.80000","0.00000","2.73057","0.65042","0.04045"
"0.65833","2.75777","37.25555","7.90000","0.00000","2.75777","0.65833","0.04094"
"0.66667","2.79340","37.73689","8.00000","0.00000","2.79340","0.66667","0.04146"
"0.67500","2.82215","38.12536","8.10000","0.00000","2.82215","0.67500","0.04198"
"0.68333","2.84849","38.48119","8.20000","0.00000","2.84849","0.68333","0.04250"
"0.69167","2.88175","38.93044","8.30000","0.00000","2.88175","0.69167","0.04301"
"0.69979","2.91541","39.38513","8.40000","0.00000","2.91541","0.69979","0.04352"
"0.70812","2.93099","39.59567","8.50000","0.00000","2.93099","0.70812","0.04404"
"0.71687","2.96878","40.10623","8.60000","0.00000","2.96878","0.71687","0.04458"
"0.72521","2.99055","40.40029","8.70000","0.00000","2.99055","0.72521","0.04510"
"0.73354","3.03060","40.94137","8.80000","0.00000","3.03060","0.73354","0.04562"
"0.74187","3.06212","41.36716","8.90000","0.00000","3.06212","0.74187","0.04614"
"0.74979","3.08583","41.68743","9.00000","0.00000","3.08583","0.74979","0.04663"
"0.75833","3.10980","42.01127","9.10000","0.00000","3.10980","0.75833","0.04716"
"0.76708","3.14280","42.45701","9.20000","0.00000","3.14280","0.76708","0.04770"
"0.77542","3.17052","42.83160","9.30000","0.00000","3.17052","0.77542","0.04822"
"0.78375","3.20162","43.25168","9.40000","0.00000","3.20162","0.78375","0.04874"
"0.79187","3.22515","43.56960","9.50000","0.00000","3.22515","0.79187","0.04925"
"0.80000","3.26484","44.10575","9.60000","0.00000","3.26484","0.80000","0.04975"
"0.80417","3.26338","44.08609","9.64800","0.00000","3.26338","0.80417","0.05001"
"0.80417","3.26386","44.09249","9.65000","0.00000","3.26386","0.80417","0.05001"
"0.80667","3.26012","44.04198","9.75000","0.00000","3.26012","0.80667","0.05017"
"0.80667","3.21025","43.36822","9.85000","0.00000","3.21025","0.80667","0.05017"
"0.80667","3.17176","42.84829","9.95000","0.00000","3.17176","0.80667","0.05017"
"0.80667","3.14214","42.44810","10.05000","0.00000","3.14214","0.80667","0.05017"
"0.80667","3.11508","42.08255","10.15000","0.00000","3.11508","0.80667","0.05017"
"0.80667","3.09072","41.75353","10.25000","0.00000","3.09072","0.80667","0.05017"
"0.80667","3.06485","41.40403","10.35000","0.00000","3.06485","0.80667","0.05017"
"0.80604","3.04309","41.11008","10.45000","0.00000","3.04309","0.80604","0.05013"
"0.80604","3.02116","40.81375","10.55000","0.00000","3.02116","0.80604","0.05013"
"0.80604","3.01195","40.68940","10.65000","0.00000","3.01195","0.80604","0.05013"
"0.80583","2.98743","40.35809","10.75000","0.00000","2.98743","0.80583","0.05011"
"0.80583","2.97488","40.18863","10.85000","0.00000","2.97488","0.80583","0.05011"
"0.80562","2.95265","39.88829","10.95000","0.00000","2.95265","0.80562","0.05010"
"0.80542","2.93766","39.68574","11.05000","0.00000","2.93766","0.80542","0.05009"
"0.80542","2.92509","39.51595","11.15000","0.00000","2.92509","0.80542","0.05009"
"0.80521","2.91397","39.36571","11.25000","0.00000","2.91397","0.80521","0.05008"
"0.80500","2.90182","39.20155","11.35000","0.00000","2.90182","0.80500","0.05006"
"0.80479","2.88381","38.95827","11.45000","0.00000","2.88381","0.80479","0.05005"
"0.80479","2.87594","38.85194","11.55000","0.00000","2.87594","0.80479","0.05005"
"0.80458","2.86123","38.65322","11.65000","0.00000","2.86123","0.80458","0.05004"
"0.80458","2.85428","38.55935","11.75000","0.00000","2.85428","0.80458","0.05004"
"0.80437","2.84083","38.37770","11.85000","0.00000","2.84083","0.80437","0.05002"
"0.80437","2.82599","38.17719","11.95000","0.00000","2.82599","0.80437","0.05002"
"0.80437","2.82171","38.11942","12.05000","0.00000","2.82171","0.80437","0.05002"
"0.80437","2.81336","38.00653","12.15000","0.00000","2.81336","0.80437","0.05002"
"0.80437","2.80748","37.92720","12.25000","0.00000","2.80748","0.80437","0.05002"
"0.80437","2.79958","37.82043","12.35000","0.00000","2.79958","0.80437","0.05002"
"0.80437","2.79631","37.77617","12.45000","0.00000","2.79631","0.80437","0.05002"
"0.80437","2.77939","37.54764","12.55000","0.00000","2.77939","0.80437","0.05002"
"0.80437","2.77299","37.46114","12.65000","0.00000","2.77299","0.80437","0.05002"
"0.80437","2.76870","37.40323","12.75000","0.00000","2.76870","0.80437","0.05002"
"0.80437","2.75538","37.22328","12.85000","0.00000","2.75538","0.80437","0.05002"
"0.80437","2.75516","37.22033","12.95000","0.00000","2.75516","0.80437","0.05002"
"0.80437","2.74289","37.05455","13.05000","0.00000","2.74289","0.80437","0.05002"
"0.80437","2.74522","37.08604","13.15000","0.00000","2.74522","0.80437","0.05002"
"0.80437","2.73219","36.91003","13.25000","0.00000","2.73219","0.80437","0.05002"
"0.80437","2.72294","36.78506","13.35000","0.00000","2.72294","0.80437","0.05002"
"0.80437","2.71911","36.73325","13.45000","0.00000","2.71911","0.80437","0.05002"
"0.80437","2.71573","36.68765","13.55000","0.00000","2.71573","0.80437","0.05002"
"0.80437","2.71049","36.61681","13.65000","0.00000","2.71049","0.80437","0.05002"
